Current_Date,Location,Next_Date,HCHO_reading
2019-05-01,"Bibile, Monaragala",2019-05-02,0.0001447003060889
2019-05-02,"Bibile, Monaragala",2019-05-03,0.00014118757142155003
2019-05-03,"Bibile, Monaragala",2019-05-04,0.000243087771434
2019-05-04,"Bibile, Monaragala",2019-05-05,0.000166357540416
2019-05-05,"Bibile, Monaragala",2019-05-06,0.0001117983754452
2019-05-06,"Bibile, Monaragala",2019-05-07,0.0002294637627646
2019-05-07,"Bibile, Monaragala",2019-05-08,0.0003124401430261
2019-05-08,"Bibile, Monaragala",2019-05-09,0.0002250056587289
2019-05-09,"Bibile, Monaragala",2019-05-10,0.0002085735307819
2019-05-10,"Bibile, Monaragala",2019-05-11,0.000257059338242
2019-05-11,"Bibile, Monaragala",2019-05-12,0.0002004889109836
2019-05-12,"Bibile, Monaragala",2019-05-13,0.0001098424870683
2019-05-13,"Bibile, Monaragala",2019-05-14,0.0002129034585429
2019-05-14,"Bibile, Monaragala",2019-05-15,0.0001720079728961
2019-05-15,"Bibile, Monaragala",2019-05-16,0.0002664730031546
2019-05-16,"Bibile, Monaragala",2019-05-17,0.000201612771683
2019-05-17,"Bibile, Monaragala",2019-05-18,0.0002884037766731
2019-05-18,"Bibile, Monaragala",2019-05-19,0.0001177087880293
2019-05-19,"Bibile, Monaragala",2019-05-20,0.0001160009060384
2019-05-20,"Bibile, Monaragala",2019-05-21,0.0001336881023634
2019-05-21,"Bibile, Monaragala",2019-05-22,0.0002208001227715
2019-05-22,"Bibile, Monaragala",2019-05-23,-7.228200424818833e-05
2019-05-23,"Bibile, Monaragala",2019-05-24,0.0003105529374545
2019-05-24,"Bibile, Monaragala",2019-05-25,0.00014381008307330002
2019-05-25,"Bibile, Monaragala",2019-05-26,0.0001747951545193
2019-05-26,"Bibile, Monaragala",2019-05-27,0.0001548687249192
2019-05-27,"Bibile, Monaragala",2019-05-28,0.0001654224296495
2019-05-28,"Bibile, Monaragala",2019-05-29,0.0001982629083403
2019-05-29,"Bibile, Monaragala",2019-05-30,0.0003091327174433
2019-05-30,"Bibile, Monaragala",2019-05-31,0.0002074993984133
2019-05-31,"Bibile, Monaragala",2019-06-01,0.0002010744889855
2019-06-01,"Bibile, Monaragala",2019-06-02,0.0001620855774003
2019-06-02,"Bibile, Monaragala",2019-06-03,0.0002011201633782
2019-06-03,"Bibile, Monaragala",2019-06-04,0.000251481226227
2019-06-04,"Bibile, Monaragala",2019-06-05,0.0001980974619026
2019-06-05,"Bibile, Monaragala",2019-06-06,0.0002146064898484
2019-06-06,"Bibile, Monaragala",2019-06-07,0.0001936430479641
2019-06-07,"Bibile, Monaragala",2019-06-08,0.0002007570846963
2019-06-08,"Bibile, Monaragala",2019-06-09,0.0002396215399985
2019-06-09,"Bibile, Monaragala",2019-06-10,0.00020626461893
2019-06-10,"Bibile, Monaragala",2019-06-11,0.00017094664612049998
2019-06-11,"Bibile, Monaragala",2019-06-12,0.0001993399340494
2019-06-12,"Bibile, Monaragala",2019-06-13,6.053496474230479e-05
2019-06-13,"Bibile, Monaragala",2019-06-14,0.0002245152867965
2019-06-14,"Bibile, Monaragala",2019-06-15,0.0001245266181147
2019-06-15,"Bibile, Monaragala",2019-06-16,0.000196375949274
2019-06-16,"Bibile, Monaragala",2019-06-17,0.0001445406571932
2019-06-17,"Bibile, Monaragala",2019-06-18,9.443249258390602e-05
2019-06-18,"Bibile, Monaragala",2019-06-19,0.0001521346246326
2019-06-19,"Bibile, Monaragala",2019-06-20,0.0001972398441497
2019-06-20,"Bibile, Monaragala",2019-06-21,0.0001846460877422
2019-06-21,"Bibile, Monaragala",2019-06-22,0.0001257577767141
2019-06-22,"Bibile, Monaragala",2019-06-23,-3.001237576428592e-05
2019-06-23,"Bibile, Monaragala",2019-06-24,0.0001914609759805
2019-06-24,"Bibile, Monaragala",2019-06-25,0.0001457232699014
2019-06-25,"Bibile, Monaragala",2019-06-26,7.372090402977676e-05
2019-06-26,"Bibile, Monaragala",2019-06-27,0.0002596372495061
2019-06-27,"Bibile, Monaragala",2019-06-28,0.0001779194617772
