Current_Date,Location,Next_Date,HCHO_reading
2019-09-05,Nuwara Eliya Proper,2019-09-06,7.88801928993891e-05
2019-09-06,Nuwara Eliya Proper,2019-09-07,7.88801928993891e-05
2019-09-07,Nuwara Eliya Proper,2019-09-08,4.987681369842603e-05
2019-09-08,Nuwara Eliya Proper,2019-09-09,0.0002593871115593
2019-09-09,Nuwara Eliya Proper,2019-09-10,8.982164139944275e-05
2019-09-10,Nuwara Eliya Proper,2019-09-11,0.00013302852221905623
2019-09-11,Nuwara Eliya Proper,2019-09-12,0.00013302852221905623
2019-09-12,Nuwara Eliya Proper,2019-09-13,0.00017460437647937136
2019-09-13,Nuwara Eliya Proper,2019-09-14,8.982164139944275e-05
2019-09-14,Nuwara Eliya Proper,2019-09-15,2.7399419932890147e-05
2019-09-15,Nuwara Eliya Proper,2019-09-16,0.0001062134900076901
2019-09-16,Nuwara Eliya Proper,2019-09-17,9.727514593723472e-05
2019-09-17,Nuwara Eliya Proper,2019-09-18,5.86105306661664e-05
2019-09-18,Nuwara Eliya Proper,2019-09-19,3.6572593671735376e-05
2019-09-19,Nuwara Eliya Proper,2019-09-20,3.6572593671735376e-05
2019-09-20,Nuwara Eliya Proper,2019-09-21,3.6572593671735376e-05
2019-09-21,Nuwara Eliya Proper,2019-09-22,4.00684436684202e-05
2019-09-22,Nuwara Eliya Proper,2019-09-23,3.8320518670077766e-05
2019-09-23,Nuwara Eliya Proper,2019-09-24,4.00684436684202e-05
2019-09-24,Nuwara Eliya Proper,2019-09-25,4.00684436684202e-05
2019-09-25,Nuwara Eliya Proper,2019-09-26,4.00684436684202e-05
2019-09-26,Nuwara Eliya Proper,2019-09-27,3.963146241883457e-05
2019-09-27,Nuwara Eliya Proper,2019-09-28,0.00010197233760641225
2019-09-28,Nuwara Eliya Proper,2019-09-29,0.00017687996532483362
2019-09-29,Nuwara Eliya Proper,2019-09-30,0.00017687996532483362
2019-09-30,Nuwara Eliya Proper,2019-10-01,0.00017687996532483362
2019-10-01,Nuwara Eliya Proper,2019-10-02,0.0001037214939681
2019-10-02,Nuwara Eliya Proper,2019-10-03,-3.025854347757612e-05
2019-10-03,Nuwara Eliya Proper,2019-10-04,3.673147524526191e-05
2019-10-04,Nuwara Eliya Proper,2019-10-05,3.673147524526191e-05
2019-10-05,Nuwara Eliya Proper,2019-10-06,3.673147524526191e-05
2019-10-06,Nuwara Eliya Proper,2019-10-07,-3.025854347757612e-05
2019-10-07,Nuwara Eliya Proper,2019-10-08,1.9983970564552374e-05
2019-10-08,Nuwara Eliya Proper,2019-10-09,1.4401469004315864e-05
2019-10-09,Nuwara Eliya Proper,2019-10-10,3.2364658838428404e-06
2019-10-10,Nuwara Eliya Proper,2019-10-11,-3.025854347757612e-05
2019-10-11,Nuwara Eliya Proper,2019-10-12,-1.3511038796866639e-05
2019-10-12,Nuwara Eliya Proper,2019-10-13,-3.025854347757612e-05
2019-10-13,Nuwara Eliya Proper,2019-10-14,-2.188479113722138e-05
2019-10-14,Nuwara Eliya Proper,2019-10-15,2.680059781088767e-05
2019-10-15,Nuwara Eliya Proper,2019-10-16,2.680059781088767e-05
2019-10-16,Nuwara Eliya Proper,2019-10-17,8.089742914307863e-05
2019-10-17,Nuwara Eliya Proper,2019-10-18,5.384901347698311e-05
2019-10-18,Nuwara Eliya Proper,2019-10-19,5.384901347698311e-05
2019-10-19,Nuwara Eliya Proper,2019-10-20,8.089742914307863e-05
