Current_Date,Location,Next_Date,HCHO_reading
2019-06-17,"Deniyaya, Matara",2019-06-18,0.00010986057768370416
2019-06-18,"Deniyaya, Matara",2019-06-19,-1.1336369400820557e-05
2019-06-19,"Deniyaya, Matara",2019-06-20,5.521807655543973e-05
2019-06-20,"Deniyaya, Matara",2019-06-21,3.626547253389472e-05
2019-06-21,"Deniyaya, Matara",2019-06-22,1.2464551566537084e-05
2019-06-22,"Deniyaya, Matara",2019-06-23,3.626547253389472e-05
2019-06-23,"Deniyaya, Matara",2019-06-24,3.626547253389472e-05
2019-06-24,"Deniyaya, Matara",2019-06-25,2.8331832211442212e-05
2019-06-25,"Deniyaya, Matara",2019-06-26,3.066723729716614e-05
2019-06-26,"Deniyaya, Matara",2019-06-27,5.938476593081348e-05
2019-06-27,"Deniyaya, Matara",2019-06-28,0.0001501880620112
2019-06-28,"Deniyaya, Matara",2019-06-29,8.48560045610269e-08
2019-06-29,"Deniyaya, Matara",2019-06-30,1.8658707556202237e-05
2019-06-30,"Deniyaya, Matara",2019-07-01,8.076289701838124e-05
2019-07-01,"Deniyaya, Matara",2019-07-02,0.0001565128040965
2019-07-02,"Deniyaya, Matara",2019-07-03,7.822883224906507e-05
2019-07-03,"Deniyaya, Matara",2019-07-04,0.0001051681777879821
2019-07-04,"Deniyaya, Matara",2019-07-05,6.491148472259721e-05
2019-07-05,"Deniyaya, Matara",2019-07-06,0.0001015658193247
2019-07-06,"Deniyaya, Matara",2019-07-07,0.0001854224783202
2019-07-07,"Deniyaya, Matara",2019-07-08,9.519535246307652e-05
2019-07-08,"Deniyaya, Matara",2019-07-09,0.000122118023414
2019-07-09,"Deniyaya, Matara",2019-07-10,0.0001342452847324255
2019-07-10,"Deniyaya, Matara",2019-07-11,3.5168823276630766e-05
2019-07-11,"Deniyaya, Matara",2019-07-12,9.399985364620808e-05
2019-07-12,"Deniyaya, Matara",2019-07-13,9.815205823701609e-05
2019-07-13,"Deniyaya, Matara",2019-07-14,0.000155182766871
2019-07-14,"Deniyaya, Matara",2019-07-15,3.06090383772373e-05
2019-07-15,"Deniyaya, Matara",2019-07-16,9.464795449508444e-05
2019-07-16,"Deniyaya, Matara",2019-07-17,3.9205342571432974e-05
2019-07-17,"Deniyaya, Matara",2019-07-18,3.490719047433514e-05
2019-07-18,"Deniyaya, Matara",2019-07-19,3.9205342571432974e-05
2019-07-19,"Deniyaya, Matara",2019-07-20,3.9205342571432974e-05
2019-07-20,"Deniyaya, Matara",2019-07-21,3.7772625205733745e-05
2019-07-21,"Deniyaya, Matara",2019-07-22,3.9205342571432974e-05
2019-07-22,"Deniyaya, Matara",2019-07-23,3.9205342571432974e-05
2019-07-23,"Deniyaya, Matara",2019-07-24,2.7530496770538245e-05
2019-07-24,"Deniyaya, Matara",2019-07-25,1.917795009592158e-06
2019-07-25,"Deniyaya, Matara",2019-07-26,1.47241458900652e-05
2019-07-26,"Deniyaya, Matara",2019-07-27,-1.7439164260629638e-05
2019-07-27,"Deniyaya, Matara",2019-07-28,1.6406873869175554e-05
2019-07-28,"Deniyaya, Matara",2019-07-29,-4.995843540715808e-06
2019-07-29,"Deniyaya, Matara",2019-07-30,0.0001339288013077
2019-07-30,"Deniyaya, Matara",2019-07-31,-7.03567768815656e-05
2019-07-31,"Deniyaya, Matara",2019-08-01,3.6934841833654336e-05
2019-08-01,"Deniyaya, Matara",2019-08-02,6.79387627216613e-05
2019-08-02,"Deniyaya, Matara",2019-08-03,1.1505609224583339e-05
2019-08-03,"Deniyaya, Matara",2019-08-04,0.0001027113576807
2019-08-04,"Deniyaya, Matara",2019-08-05,7.763261304247379e-05
2019-08-05,"Deniyaya, Matara",2019-08-06,5.245533362906521e-05
2019-08-06,"Deniyaya, Matara",2019-08-07,7.7599768117413e-05
2019-08-07,"Deniyaya, Matara",2019-08-08,6.50439733357695e-05
2019-08-08,"Deniyaya, Matara",2019-08-09,5.245533362906521e-05
2019-08-09,"Deniyaya, Matara",2019-08-10,6.503302502741594e-05
2019-08-10,"Deniyaya, Matara",2019-08-11,5.874965348241741e-05
2019-08-11,"Deniyaya, Matara",2019-08-12,5.245533362906521e-05
2019-08-12,"Deniyaya, Matara",2019-08-13,-1.6567200397283402e-05
2019-08-13,"Deniyaya, Matara",2019-08-14,-1.6567200397283402e-05
2019-08-14,"Deniyaya, Matara",2019-08-15,-1.6567200397283402e-05
2019-08-15,"Deniyaya, Matara",2019-08-16,-1.6567200397283402e-05
2019-08-16,"Deniyaya, Matara",2019-08-17,-1.6567200397283402e-05
2019-08-17,"Deniyaya, Matara",2019-08-18,-1.6567200397283402e-05
2019-08-18,"Deniyaya, Matara",2019-08-19,4.8707759228402166e-05
2019-08-19,"Deniyaya, Matara",2019-08-20,1.187302498785714e-05
2019-08-20,"Deniyaya, Matara",2019-08-21,0.0002373940806137
2019-08-21,"Deniyaya, Matara",2019-08-22,9.932495494331976e-05
2019-08-22,"Deniyaya, Matara",2019-08-23,0.00012463355280077857
2019-08-23,"Deniyaya, Matara",2019-08-24,0.0002373940806137
2019-08-24,"Deniyaya, Matara",2019-08-25,0.00015378419611926613
2019-08-25,"Deniyaya, Matara",2019-08-26,0.00018101381670723932
2019-08-26,"Deniyaya, Matara",2019-08-27,0.0002373940806137
2019-08-27,"Deniyaya, Matara",2019-08-28,0.00019073069781340188
2019-08-28,"Deniyaya, Matara",2019-08-29,0.00020920394866046974
2019-08-29,"Deniyaya, Matara",2019-08-30,6.798230223314625e-05
2019-08-30,"Deniyaya, Matara",2019-08-31,0.0001003325498068
2019-08-31,"Deniyaya, Matara",2019-09-01,8.415742601997312e-05
2019-09-01,"Deniyaya, Matara",2019-09-02,8.415742601997312e-05
2019-09-02,"Deniyaya, Matara",2019-09-03,6.411903520786512e-05
2019-09-03,"Deniyaya, Matara",2019-09-04,9.78157384524139e-05
2019-09-04,"Deniyaya, Matara",2019-09-05,9.791662909121674e-05
2019-09-05,"Deniyaya, Matara",2019-09-06,8.661713425049858e-05
2019-09-06,"Deniyaya, Matara",2019-09-07,9.786618377181531e-05
2019-09-07,"Deniyaya, Matara",2019-09-08,7.900931868731356e-05
2019-09-08,"Deniyaya, Matara",2019-09-09,-1.9800126716534245e-05
2019-09-09,"Deniyaya, Matara",2019-09-10,4.326489287765812e-05
2019-09-10,"Deniyaya, Matara",2019-09-11,4.263753551153884e-05
2019-09-11,"Deniyaya, Matara",2019-09-12,2.2034100557554236e-05
2019-09-12,"Deniyaya, Matara",2019-09-13,8.720108094777346e-05
2019-09-13,"Deniyaya, Matara",2019-09-14,7.855770871679348e-05
2019-09-14,"Deniyaya, Matara",2019-09-15,8.287939483228348e-05
2019-09-15,"Deniyaya, Matara",2019-09-16,8.287939483228348e-05
2019-09-16,"Deniyaya, Matara",2019-09-17,7.855770871679348e-05
2019-09-17,"Deniyaya, Matara",2019-09-18,8.143883279378687e-05
2019-09-18,"Deniyaya, Matara",2019-09-19,8.071855177453856e-05
2019-09-19,"Deniyaya, Matara",2019-09-20,7.855770871679348e-05
2019-09-20,"Deniyaya, Matara",2019-09-21,8.023836442837302e-05
2019-09-21,"Deniyaya, Matara",2019-09-22,2.78876797254711e-05
2019-09-22,"Deniyaya, Matara",2019-09-23,2.78876797254711e-05
2019-09-23,"Deniyaya, Matara",2019-09-24,2.78876797254711e-05
2019-09-24,"Deniyaya, Matara",2019-09-25,2.78876797254711e-05
2019-09-25,"Deniyaya, Matara",2019-09-26,2.78876797254711e-05
2019-09-26,"Deniyaya, Matara",2019-09-27,2.78876797254711e-05
2019-09-27,"Deniyaya, Matara",2019-09-28,2.78876797254711e-05
2019-09-28,"Deniyaya, Matara",2019-09-29,2.78876797254711e-05
2019-09-29,"Deniyaya, Matara",2019-09-30,8.320224946993188e-05
2019-09-30,"Deniyaya, Matara",2019-10-01,1.9647603158705263e-05
2019-10-01,"Deniyaya, Matara",2019-10-02,0.000117836499168
2019-10-02,"Deniyaya, Matara",2019-10-03,7.356211726554571e-05
2019-10-03,"Deniyaya, Matara",2019-10-04,6.874205116335263e-05
2019-10-04,"Deniyaya, Matara",2019-10-05,-0.0001226669264724
2019-10-05,"Deniyaya, Matara",2019-10-06,-0.0001226669264724
2019-10-06,"Deniyaya, Matara",2019-10-07,4.612769316736376e-06
2019-10-07,"Deniyaya, Matara",2019-10-08,-5.005087337895441e-06
2019-10-08,"Deniyaya, Matara",2019-10-09,-1.961590105795341e-07
2019-10-09,"Deniyaya, Matara",2019-10-10,-1.961590105795341e-07
2019-10-10,"Deniyaya, Matara",2019-10-11,-5.005087337895441e-06
2019-10-11,"Deniyaya, Matara",2019-10-12,-1.799135119684791e-06
2019-10-12,"Deniyaya, Matara",2019-10-13,-2.6006231742374197e-06
2019-10-13,"Deniyaya, Matara",2019-10-14,7.59858494096762e-05
2019-10-14,"Deniyaya, Matara",2019-10-15,1.83682831601389e-05
2019-10-15,"Deniyaya, Matara",2019-10-16,4.717706628490755e-05
2019-10-16,"Deniyaya, Matara",2019-10-17,4.717706628490755e-05
2019-10-17,"Deniyaya, Matara",2019-10-18,0.0002317053602408
2019-10-18,"Deniyaya, Matara",2019-10-19,0.0002317053602408
2019-10-19,"Deniyaya, Matara",2019-10-20,0.0002317053602408
2019-10-20,"Deniyaya, Matara",2019-10-21,0.0002317053602408
2019-10-21,"Deniyaya, Matara",2019-10-22,0.0002317053602408
2019-10-22,"Deniyaya, Matara",2019-10-23,0.0002317053602408
2019-10-23,"Deniyaya, Matara",2019-10-24,0.0002317053602408
2019-10-24,"Deniyaya, Matara",2019-10-25,0.0002317053602408
2019-10-25,"Deniyaya, Matara",2019-10-26,0.0002317053602408
2019-10-26,"Deniyaya, Matara",2019-10-27,0.0002317053602408
2019-10-27,"Deniyaya, Matara",2019-10-28,0.0002317053602408
2019-10-28,"Deniyaya, Matara",2019-10-29,0.0002317053602408
2019-10-29,"Deniyaya, Matara",2019-10-30,0.0002317053602408
2019-10-30,"Deniyaya, Matara",2019-10-31,0.0002317053602408
2019-10-31,"Deniyaya, Matara",2019-11-01,0.0002290918466488
2019-11-01,"Deniyaya, Matara",2019-11-02,0.0002290918466488
2019-11-02,"Deniyaya, Matara",2019-11-03,-0.0001996380306081
2019-11-03,"Deniyaya, Matara",2019-11-04,1.4726908020350012e-05
2019-11-04,"Deniyaya, Matara",2019-11-05,-0.0001996380306081
2019-11-05,"Deniyaya, Matara",2019-11-06,-0.0001996380306081
2019-11-06,"Deniyaya, Matara",2019-11-07,0.0002161975617461
2019-11-07,"Deniyaya, Matara",2019-11-08,0.0001877186378125
2019-11-08,"Deniyaya, Matara",2019-11-09,7.553392172272982e-05
2019-11-09,"Deniyaya, Matara",2019-11-10,0.00015981670709377659
2019-11-10,"Deniyaya, Matara",2019-11-11,0.0001316262797676149
2019-11-11,"Deniyaya, Matara",2019-11-12,0.0002234721468994
2019-11-12,"Deniyaya, Matara",2019-11-13,0.0002234721468994
2019-11-13,"Deniyaya, Matara",2019-11-14,0.0001128827506019
2019-11-14,"Deniyaya, Matara",2019-11-15,5.815962265760409e-05
2019-11-15,"Deniyaya, Matara",2019-11-16,-9.728603617986664e-05
2019-11-16,"Deniyaya, Matara",2019-11-17,6.111619864362443e-05
2019-11-17,"Deniyaya, Matara",2019-11-18,0.0001113500110585
2019-11-18,"Deniyaya, Matara",2019-11-19,8.669282646079637e-05
