STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/17/2019,0.33,",,S",84,"H,,S",,,75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/18/2019,0,",,S",86,"H,,S",96,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/19/2019,0,",,S",88,"H,,S",99,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/20/2019,0,",,S",87,"H,,S",99,",,S",73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/21/2019,0,",,S",84,"H,,S",,,75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/24/2019,0,",,S",88,"H,,S",99,",,S",73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/25/2019,0,",,S",87,"H,,S",100,",,S",71,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/26/2019,0,",,S",83,"H,,S",,,69,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/27/2019,0,",,S",87,"H,,S",99,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/31/2019,0,",,S",88,"H,,S",101,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/1/2019,0,",,S",90,"H,,S",99,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/2/2019,0,",,S",90,"H,,S",98,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/3/2019,0,",,S",87,"H,,S",99,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/4/2019,0,",,S",88,"H,,S",,,74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/5/2019,0,",,S",91,"H,,S",98,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/7/2019,0,",,S",87,"H,,S",98,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/8/2019,0.19,",,S",86,"H,,S",,,76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/9/2019,0,",,S",87,"H,,S",,,76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/10/2019,0.51,",,S",89,"H,,S",99,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/11/2019,0.06,",,S",86,"H,,S",95,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/12/2019,0.55,",,S",92,"H,,S",99,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/13/2019,0.14,",,S",90,"H,,S",97,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/14/2019,0.01,",,S",87,"H,,S",97,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/15/2019,0,",,S",85,"H,,S",96,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/16/2019,0.08,",,S",83,"H,,S",96,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/17/2019,0.09,",,S",82,"H,,S",94,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/18/2019,0.11,",,S",83,"H,,S",,,73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/21/2019,0.11,",,S",87,"H,,S",94,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/22/2019,1.51,",,S",85,"H,,S",,,,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/24/2019,0,",,S",87,"H,,S",95,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/25/2019,0,",,S",83,"H,,S",,,,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/28/2019,0,",,S",87,"H,,S",94,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/29/2019,0.12,",,S",85,"H,,S",90,",,S",,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,4/30/2019,0,",,S",80,"H,,S",89,",,S",,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/1/2019,0.11,",,S",85,"H,,S",,,74,",,S"
