NAME,LATITUDE,LONGITUDE,ELEVATION,Sea Proximity (approximate-km),Sea Proximity Categorised,Climate Zone,DATE,PRCP,TAVG,TMAX,TMIN
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-02,2.2,27.06,31.24,24.12
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-03,3.85,27.07,31.65,24.35
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-04,2.9,27.24,33.57,23.05
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-05,1.27,26.94,32.29,23.44
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-06,0.22,27.93,34.68,23.45
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-07,0.01,28.19,35.21,22.73
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-08,0.01,27.49,32.45,24.26
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-09,0.0,28.76,36.65,22.71
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-10,0.0,29.37,37.54,23.58
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-11,0.03,29.34,36.97,23.73
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-12,0.54,28.78,35.69,24.15
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-13,0.34,28.79,35.97,23.87
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-14,0.3,29.12,36.64,23.59
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-15,0.11,29.46,36.71,24.02
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-16,2.84,28.88,35.62,24.71
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-17,2.38,27.3,31.89,24.51
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-18,2.66,27.12,31.87,23.87
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-19,1.82,28.06,35.28,22.4
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-20,1.22,28.22,34.25,23.73
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-21,2.15,27.98,33.98,23.76
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-22,2.31,27.85,34.43,23.3
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-23,4.78,27.38,32.81,23.63
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-24,2.67,27.37,33.01,23.98
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-25,2.06,27.47,33.72,23.04
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-26,0.35,28.45,35.63,23.03
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-27,0.22,28.78,35.49,23.3
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-28,0.52,29.02,35.01,24.84
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-29,1.48,28.79,34.4,24.93
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-30,2.3,27.85,33.85,24.37
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-31,0.57,27.7,33.95,24.18
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-01,0.53,27.76,34.12,23.81
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-02,1.8,28.03,34.56,23.86
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-03,5.06,27.72,33.44,24.13
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-04,3.81,27.06,32.08,24.12
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-05,5.82,26.73,31.44,23.73
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-06,8.45,26.58,31.62,23.68
