region,DATE,carbonmonoxide_average,nitrogendioxide_average,ozone_average
Kandy Proper,2021-04-06,0.04047660157084465,1.6658581444062293e-05,0.1220172569155693
Kandy Proper,2021-04-07,0.03920386731624603,1.6509144188603386e-05,0.12048559635877609
Kandy Proper,2021-04-08,0.043470488861203194,1.3732729712501168e-05,0.11882838606834412
Kandy Proper,2021-04-09,0.03182108017305533,1.663489092607051e-05,0.11751330395539601
Kandy Proper,2021-04-10,0.03335109353065491,1.4249283898000916e-05,0.11971113582452139
Kandy Proper,2021-04-11,0.03327622264623642,1.977424108190462e-05,0.11970925827821095
Kandy Proper,2021-04-12,0.0343199260532856,1.1736900887626689e-05,0.12025975435972214
Kandy Proper,2021-04-13,0.03119822032749653,1.4816931070527062e-05,0.1197360431154569
Kandy Proper,2021-04-14,0.033036365639418364,1.5694668036303483e-05,0.11961029221614201
Kandy Proper,2021-04-15,0.03051573783159256,1.3820495951222256e-05,0.12079943716526031
Kandy Proper,2021-04-16,0.031155003234744072,1.4776230273128022e-05,0.12010138171414533
Kandy Proper,2021-04-17,0.033089667558670044,2.0930097889504395e-05,0.12219541519880295
Kandy Proper,2021-04-18,0.03634949401021004,1.9536171748768538e-05,0.12086838152673508
Kandy Proper,2021-04-19,0.03543439507484436,2.0711957404273562e-05,0.12149742618203163
Kandy Proper,2021-04-20,0.036045610904693604,2.1252762962831184e-05,0.12219541519880295
Kandy Proper,2021-04-21,0.036386601626873016,1.8052996892947704e-05,0.12219541519880295
Kandy Proper,2021-04-22,0.033050984144210815,1.0945030226139352e-05,0.11985935767491658
Kandy Proper,2021-04-23,0.03242794796824455,1.7420779840904288e-05,0.11985935767491658
Kandy Proper,2021-04-24,0.030097629874944687,1.2679170140472706e-05,0.121172696352005
Kandy Proper,2021-04-25,0.03299917280673981,2.12316863326123e-05,0.11907576272885005
Kandy Proper,2021-04-26,0.03307085111737251,1.5229972632369027e-05,0.12003593891859055
Kandy Proper,2021-04-27,0.0309553612023592,1.3962684533908032e-05,0.12218962609767914
Kandy Proper,2021-04-28,0.030951401218771935,1.3298994531396602e-05,0.12386064976453781
Kandy Proper,2021-04-29,0.031994196586310863,1.4976015336287674e-05,0.12132422626018524
Kandy Proper,2021-04-30,0.03165920451283455,2.1865329358661256e-05,0.12245816737413406
Kandy Proper,2021-05-01,0.029529267301162083,1.4565367564500775e-05,0.1199385542422533
Kandy Proper,2021-05-02,0.02985112927854061,1.4576748981198762e-05,0.12050422094762325
Kandy Proper,2021-05-03,0.02930276282131672,1.7542071191201103e-05,0.12182243168354034
Kandy Proper,2021-05-04,0.029639832675457,2.125145238096593e-05,0.12049437314271927
Kandy Proper,2021-05-05,0.030363187814752262,8.010691090021282e-06,0.12008269503712654
Kandy Proper,2021-05-06,0.02881782501935959,9.732939361128956e-06,0.11980440715948741
Kandy Proper,2021-05-07,0.027763403952121735,1.587656333867926e-05,0.12077077478170395
Kandy Proper,2021-05-08,0.02976996637880802,1.799847450456582e-05,0.12010197341442108
Kandy Proper,2021-05-09,0.02995917573571205,1.5076063391461503e-05,0.11990692466497421
Kandy Proper,2021-05-10,0.032956561694542565,8.458910997433122e-06,0.1192057877779007
Kandy Proper,2021-05-11,0.02921021729707718,1.3071121657048934e-05,0.12091495096683502
Kandy Proper,2021-05-12,0.0317617692053318,1.5166052435233723e-05,0.12003182619810104
Kandy Proper,2021-05-13,0.030971930983165898,1.3871485862182453e-05,0.12308768182992935
Kandy Proper,2021-05-14,0.029442479213078816,1.659184999880381e-05,0.12185641378164291
Kandy Proper,2021-05-15,0.026353829850753147,-4.8182596401602495e-06,0.12020121763149898
Kandy Proper,2021-05-16,0.02918602608972125,1.0035501873062458e-05,0.11910388618707657
Kandy Proper,2021-05-17,0.02555909752845764,1.527974018245004e-05,0.12184134125709534
Kandy Proper,2021-05-18,0.024741310626268387,1.4221061974240001e-05,0.12027585692703724
Kandy Proper,2021-05-19,0.02408156730234623,1.425619120709598e-05,0.11935476213693619
Kandy Proper,2021-05-20,0.024793991819024086,9.924824553309008e-06,0.11858319491147995
Kandy Proper,2021-05-21,0.02611750861008962,8.826939847494941e-06,0.12001378880813718
Kandy Proper,2021-05-22,0.023885663598775864,1.0063602530863136e-05,0.12023660788933437
Kandy Proper,2021-05-23,0.025468479841947556,7.819167876732536e-06,0.12064720690250397
Kandy Proper,2021-05-24,0.02571970783174038,1.4285504221334122e-05,0.12101121991872787
Kandy Proper,2021-05-25,0.025297839970638357,4.224125859764172e-06,0.11981100589036942
Kandy Proper,2021-05-26,0.02668312502404054,3.2016164368542377e-06,0.12056908011436462
Kandy Proper,2021-05-27,0.023648466914892197,9.335581125924364e-06,0.11933935433626175
Kandy Proper,2021-05-28,0.023355362936854362,7.375008408416761e-06,0.12073952704668045
Kandy Proper,2021-05-29,0.025380763225257397,1.3617686818179209e-06,0.12097278237342834
Kandy Proper,2021-05-30,0.024523714557290077,9.88971623883117e-06,0.12230668775737286
Kandy Proper,2021-05-31,0.024227076908573508,1.3038970791967586e-05,0.12195821851491928
Kandy Proper,2021-06-01,0.024905113503336906,7.814903256075922e-06,0.12149430392310023
Kandy Proper,2021-06-02,0.023680804297327995,9.564853826304898e-06,0.1207096055150032
Kandy Proper,2021-06-03,0.024455728009343147,8.090825758699793e-06,0.12026216834783554
Kandy Proper,2021-06-04,0.023138882592320442,1.39404046421987e-05,0.11913147568702698
Kandy Proper,2021-06-05,0.022280974313616753,1.6508370890733204e-05,0.12141666561365128
Kandy Proper,2021-06-06,0.023389097303152084,5.488230726768961e-06,0.12037997879087925
Kandy Proper,2021-06-07,0.02329186163842678,1.564322883496061e-05,0.12143354117870331
Kandy Proper,2021-06-08,0.024185767397284508,1.2841246643802151e-05,0.11947457492351532
Kandy Proper,2021-06-09,0.020980332046747208,8.412973329541273e-06,0.12081914395093918
Kandy Proper,2021-06-10,0.024653244763612747,1.0209927495452575e-05,0.12254501134157181
Kandy Proper,2021-06-11,0.02327311473588149,1.1769554475904442e-05,0.1210680678486824
Kandy Proper,2021-06-12,0.022394804283976555,9.134881111094728e-06,0.12050720304250717
Kandy Proper,2021-06-13,0.021886378526687622,9.935796697391197e-06,0.11971033364534378
Kandy Proper,2021-06-14,0.022350087761878967,7.84699329869909e-06,0.12174080312252045
Kandy Proper,2021-06-15,0.022232210263609886,5.924323431827361e-06,0.12192040123045444
Kandy Proper,2021-06-16,0.021493691951036453,7.679876034671906e-06,0.12248414009809494
Kandy Proper,2021-06-17,0.021219637244939804,1.395910840074066e-05,0.12164473533630371
Kandy Proper,2021-06-18,0.022827381268143654,1.0439196557854302e-05,0.12085901945829391
Kandy Proper,2021-06-19,0.02166270650923252,1.2590854566951748e-05,0.12041492760181427
Kandy Proper,2021-06-20,0.02278105728328228,1.1049924978578929e-05,0.12324681878089905
Kandy Proper,2021-06-21,0.022122695576399565,1.5199153494904749e-05,0.12266644835472107
Kandy Proper,2021-06-22,0.022423715020219486,1.7663509424892254e-05,0.12179680354893208
Kandy Proper,2021-06-23,0.022043809294700623,1.8398224710836075e-05,0.1201295480132103
Kandy Proper,2021-06-24,0.023217929527163506,5.9476151363924146e-06,0.12142979353666306
Kandy Proper,2021-06-25,0.023570245131850243,1.3797235396850738e-05,0.12236391007900238
Kandy Proper,2021-06-26,0.02303219400346279,1.467233323637629e-05,0.12175149470567703
Kandy Proper,2021-06-27,0.022630642478664715,7.212870059447596e-06,0.1224965900182724
Kandy Proper,2021-06-28,0.02269624173641205,1.791606700862758e-05,0.12136897444725037
Kandy Proper,2021-06-29,0.019034963101148605,1.3078306437819265e-05,0.12032897025346756
Kandy Proper,2021-06-30,0.021180056035518646,8.104541848297231e-06,0.11831992864608765
Kandy Proper,2021-07-01,0.022538088262081146,1.0684259905247018e-05,0.11914629489183426
Kandy Proper,2021-07-02,0.0206485353410244,7.972665116540156e-06,0.1218667874733607
Kandy Proper,2021-07-03,0.0208504106849432,1.4837731896477635e-05,0.12063869833946228
Kandy Proper,2021-07-04,0.023204283167918522,1.230371731253399e-05,0.11956238746643066
Kandy Proper,2021-07-05,0.02277444303035736,1.3814263184031006e-05,0.120303542042772
Kandy Proper,2021-07-06,0.013900653459131718,1.2338819942669943e-05,0.12187148382266362
Kandy Proper,2021-07-07,0.019765770062804222,1.457844064134406e-05,0.12270587186018626
Kandy Proper,2021-07-08,0.019773120060563087,1.170320865639951e-05,0.12288468331098557
Kandy Proper,2021-07-09,0.015455752611160278,1.5971256289049052e-05,0.12321265041828156
Kandy Proper,2021-07-10,0.017223824048414826,1.9192688341718167e-05,0.12225866069396336
Kandy Proper,2021-07-11,0.018331547578175865,1.1425778438933776e-06,0.12061987817287445
Kandy Proper,2021-07-12,0.021137898787856102,3.108257033090922e-06,0.12089928984642029
Kandy Proper,2021-07-13,0.022283073980361223,8.639462407700194e-07,0.12103566030661266
Kandy Proper,2021-07-14,0.021943483501672745,1.2393465112836566e-05,0.11931933959325154
Kandy Proper,2021-07-15,0.021014388650655746,1.282987341255648e-05,0.12042302638292313
Kandy Proper,2021-07-16,0.02074674020210902,8.35688661027234e-06,0.12036777287721634
Kandy Proper,2021-07-17,0.02074294351041317,1.6066886018961668e-05,0.12170571833848953
Kandy Proper,2021-07-18,0.020951978862285614,1.0797520189953502e-05,0.12080878019332886
Kandy Proper,2021-07-19,0.021776210516691208,7.718246706645004e-06,0.1192752942442894
Kandy Proper,2021-07-20,0.022383734583854675,8.288710887427442e-06,0.12112437188625336
Kandy Proper,2021-07-21,0.021463716868311167,7.277417807927122e-06,0.12131723761558533
Kandy Proper,2021-07-22,0.020357023924589157,1.1596595868468285e-05,0.12053057551383972
Kandy Proper,2021-07-23,0.022083010524511337,7.877521966292989e-06,0.12111424654722214
Kandy Proper,2021-07-24,0.021607923010985058,1.5984318451955914e-05,0.12064988166093826
Kandy Proper,2021-07-25,0.021550023928284645,1.4402938177227043e-05,0.12092085182666779
Kandy Proper,2021-07-26,0.02383124642074108,8.906501534511335e-06,0.12080388888716698
Kandy Proper,2021-07-27,0.02361786924302578,1.0745399777079001e-05,0.1208476722240448
Kandy Proper,2021-07-28,0.022999713197350502,1.4929236385796685e-05,0.11974848806858063
Kandy Proper,2021-07-29,0.0201723612844944,1.353403774828621e-05,0.12053344398736954
Kandy Proper,2021-07-30,0.02528771385550499,1.4775022464164067e-05,0.11831513792276382
Kandy Proper,2021-07-31,0.02277636155486107,9.551120456308126e-06,0.11946939677000046
Kandy Proper,2021-08-01,0.022062409669160843,7.927956175990403e-06,0.12089098244905472
Kandy Proper,2021-08-02,0.02165284752845764,1.2032008271489758e-05,0.12066134065389633
Kandy Proper,2021-08-03,0.022944833151996136,1.788439618621851e-07,0.12258851528167725
Kandy Proper,2021-08-04,0.022163872917493183,1.6489297195221297e-05,0.12154515087604523
Kandy Proper,2021-08-05,0.022849200293421745,8.845502634358127e-06,0.12297661602497101
Kandy Proper,2021-08-06,0.022559741511940956,1.1945659935008734e-05,0.12045367062091827
Kandy Proper,2021-08-07,0.020708315074443817,1.4734145224792883e-05,0.12143674244483312
Kandy Proper,2021-08-08,0.022039085626602173,1.6061590940807946e-05,0.11975563317537308
Kandy Proper,2021-08-09,0.021167419850826263,1.0333121281291824e-05,0.11748915165662766
Kandy Proper,2021-08-10,0.02147849214573701,1.3686497368325945e-05,0.12152428925037384
Kandy Proper,2021-08-11,0.02176222950220108,1.092488946596859e-05,0.1194685623049736
Kandy Proper,2021-08-12,0.02084726095199585,1.4142276995698921e-05,0.11847973614931107
Kandy Proper,2021-08-13,0.022077368572354317,1.1728971912816633e-05,0.11924043484032154
Kandy Proper,2021-08-14,0.023906920726100605,9.886897714750376e-06,0.12250566482543945
Kandy Proper,2021-08-15,0.022015413269400597,1.4161215403873939e-05,0.12079564481973648
Kandy Proper,2021-08-16,0.02282816357910633,6.207823162185377e-07,0.1215241551399231
Kandy Proper,2021-08-17,0.022943217307329178,7.021406418061815e-06,0.1216515377163887
Kandy Proper,2021-08-18,0.02248012274503708,1.2854205124313012e-05,0.12188656628131866
Kandy Proper,2021-08-19,0.020970800891518593,5.962453997199191e-06,0.12193350493907928
Kandy Proper,2021-08-20,0.022457676008343697,1.013389919535257e-05,0.1242244616150856
Kandy Proper,2021-08-21,0.021647106856107712,1.6889607650227845e-05,0.12337926030158997
Kandy Proper,2021-08-22,0.018021803349256516,1.2307262295507826e-05,0.12184560298919678
Kandy Proper,2021-08-23,0.020900525152683258,1.1540583727764897e-05,0.12097682803869247
Kandy Proper,2021-08-24,0.021462343633174896,1.6404052075813524e-05,0.11940065771341324
Kandy Proper,2021-08-25,0.01964595355093479,1.1639876902336255e-05,0.11964426189661026
Kandy Proper,2021-08-26,0.01942659355700016,7.720549547229894e-06,0.12121132264534633
Kandy Proper,2021-08-27,0.02092822641134262,9.210162716044579e-06,0.1195979043841362
Kandy Proper,2021-08-28,0.019933758303523064,1.3828847841068637e-05,0.12057510018348694
Kandy Proper,2021-08-29,0.022574611008167267,1.797552249627188e-05,0.1202974021434784
Kandy Proper,2021-08-30,0.020715797320008278,1.566277387610171e-05,0.12004656344652176
Kandy Proper,2021-08-31,0.02114553190767765,1.1545395864231978e-05,0.12071287631988525
Kandy Proper,2021-09-01,0.021254184655845162,1.4362235560838599e-05,0.1208296325057745
Kandy Proper,2021-09-02,0.017689019441604614,2.5838946385192685e-05,0.12059715390205383
Kandy Proper,2021-09-03,0.021181615069508553,2.0055162167409435e-05,0.11885841935873032
Kandy Proper,2021-09-04,0.019435317255556583,8.395810255024116e-06,0.11967860162258148
Kandy Proper,2021-09-05,0.020289981737732887,1.537894604553003e-05,0.11792416870594025
Kandy Proper,2021-09-06,0.0229351669549942,1.621735646040179e-05,0.11936702579259872
Kandy Proper,2021-09-07,0.021912137046456337,8.783969860814977e-06,0.11822636425495148
Kandy Proper,2021-09-08,0.02268078364431858,1.2276788766030222e-05,0.11916004866361618
Kandy Proper,2021-09-09,0.02249871753156185,8.076262020040303e-06,0.12033362686634064
Kandy Proper,2021-09-10,0.022381272166967392,1.6029429389163852e-05,0.1201743334531784
Kandy Proper,2021-09-11,0.021493809297680855,1.4978273611632176e-05,0.11939553916454315
Kandy Proper,2021-09-12,0.022816251963377,1.093548780772835e-05,0.11957055330276489
Kandy Proper,2021-09-13,0.021748607978224754,1.0764671060314868e-05,0.1178467869758606
Kandy Proper,2021-09-14,0.022382305935025215,1.2850190614699386e-05,0.11734519153833389
Kandy Proper,2021-09-15,0.022110243793576956,1.635248918319121e-05,0.12002832442522049
Kandy Proper,2021-09-16,0.02424696832895279,1.495488322689198e-05,0.1194167211651802
Kandy Proper,2021-09-17,0.023268012329936028,2.0630666767829098e-05,0.11913199722766876
Kandy Proper,2021-09-18,0.023770291358232498,1.2302355912652274e-05,0.12013098038733006
Kandy Proper,2021-09-19,0.02322499454021454,2.1497209672816098e-05,0.11951731145381927
Kandy Proper,2021-09-20,0.02211144318183263,-1.450550917070359e-05,0.12167360633611679
Kandy Proper,2021-09-21,0.022616712376475334,1.5105530110304244e-05,0.1192329799135526
Kandy Proper,2021-09-22,0.02404240146279335,1.1496256774989888e-05,0.12143712490797043
Kandy Proper,2021-09-23,0.02296942099928856,1.0701918654376641e-05,0.1211571991443634
Kandy Proper,2021-09-24,0.022159356623888016,1.3407500773610082e-05,0.12143016358216603
Kandy Proper,2021-09-25,0.021836066618561745,1.4358991393237375e-05,0.11803565174341202
Kandy Proper,2021-09-26,0.03127114040156206,1.5010530660219956e-05,0.12160516530275345
Kandy Proper,2021-09-27,0.022166438400745392,6.9732495830976404e-06,0.11980611830949783
